text,label
text,1
"    
    

sad 5 people died in an honduras… ",0
"a big thanks to 
  
 
",1
then we want to pretend that all is well i can assure you that with this trajectory plus broad daylight thuggery k… ,1
the  doesnt want you to hear this  bombshell  via  … ,0
  first it was missing a a show then two now the whole crew is not present is jamila fine to begin with or…,1
first it was missing a a show then two now the whole crew is not present is jamila fine to begin w… ,1
" wont air tonight
sad

",0
people are furious that show in     via  … ,0
no  tonight ,0
first thursday i am home at this hour expecting to watch  only to learn that there is no quorum… ,0
   please exp… ,0
hongera just like how built a school in kibera and i bet the media … ,0
we want to know if we should take our kids to kenyan government schools or look for other options stop avoiding im… ,1
this talk shows are becoming useless theyre busy avoiding serious issues who the hell wants to know what nancy do… ,1
i thought the same he seems to be avoiding touching on most impoant and serious problems … ,1
atwoli is busy calling people washenzi and exposing his fake gold malets his elder brother a true billionaire is… ,0
  when did the people of the west develop such an appetite of get rich quickly through fake dollars  gold our pastime close…,0
when did the people of the west develop such an appetite of get rich quickly through fake dollars  gold our pasti… ,0
  and just to wrap up our day earlier on today received a courtesy call from the kenya urban support…,1
  news gang has presented the true state of the nation its grim its sad its dire government should not bury its head…,1
  kaikai the leadership in cotu is aging and i think when francis atwoli leaves he will have to leave with a whole team…,1
ale after s     issues sick demand   via… ,0
  yvonne its not in doubt that trade unions must engage in political participation because thats the only way they can…,0
no   to  gives  free rein to    via … ,0
  i fear my government might be jailed for failing to pay back this debt they borrow 100use 5on the intended purpos…,1
i stevonne cyril githinji of id number 26268104 denounce my kenyan citizenship i remain stateless and im petiti… ,0
ale  invaders petrified after hearing the new plan to stop them dead in their tracks… ,1
rebuttal vices   propaganda    via … ,0
"  men denim trousers

ksh 1500

254702555825

free delivery within nairobi cbd

   ",0
 delivers stunning  from the  you have to see   via … ,1
"  yvonne’s take the executive pay rise 

",1
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"dragon day you are dead


    … ",1
"  yvonne what really happened in china

kaikai something very bad must have happened in china because we have not seen…",0
"  men denim trousers

ksh 1500

254702555825

free delivery within nairobi cbd

   ",0
"    
  

a 27yr old mother was arrested fo… ",1
"      

sad actor chris attohs wife was shot dead in us 

",0
"  yvonne what really happened in china

kaikai something very bad must have happened in china because we have not seen…",0
"  yvonne’s take the executive pay rise 

",1
"  yvonne what really happened in china

kaikai something very bad must have happened in china because we have not seen…",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  yvonne’s take the executive pay rise 

",1
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
  says no maam  via   … ,0
  if parliament can allocate itself house allowance unbudgeted 4this shows incompetence at treasury where is the money coming f…,0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
  src is bias in executing its mandate its not independent as it ought to beonly oppressing lower cadre civil servants…,1
your suggestions for any good pre kindergaen schools that you take your children to  ,0
  gachuri on mp’s allowances it is a burden we have to bear but at the same time question how src is operating they nee…,0
  if parliament can allocate itself house allowance unbudgeted 4this shows incompetence at treasury where is the money coming f…,0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  yvonne what really happened in china

kaikai something very bad must have happened in china because we have not seen…",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  yvonne’s take the executive pay rise 

",1
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  yvonne what really happened in china

kaikai something very bad must have happened in china because we have not seen…",0
  ageyo parliament has never subjected itself to the authority of the src sarah serem was a marked woman they parliam…,0
  the problem with kenyan mps they dont request for pay rise they demand and if you deny them then they use blackmail disg…,0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
"  im just here to remind you that jubilee has 21 days to build 31 dams

thats 15 dams a day 😆

",0
  and just to wrap up our day earlier on today received a courtesy call from the kenya urban support…,1
