text,label
text,1
  on working with her husband i have someone looking out for me both at work and at home he is able to support me the…,1
  no more holding back tell your love to everyone see who loves back   ,1
"one of my favorite looks on for livingwithess 

makeup by 

  … ",0
"one of my favorite looks on for livingwithess 

makeup by 

  … ",0
"one of my favorite looks on for livingwithess 

makeup by 

  … ",0
 vital things to look for in a maternity insurance cover  ,0
  if you keep comparing yourself to everyone else youll never see the good in yourself  loryne awiti  htt…,1
"watch living with ess on 

todays show on the vital things to look for in a maternity insur… ",1
"watch living with ess on 

todays show on the vital things to look for in a maternity insur… ",1
  it’s important for parents to understand that there are other things young people can do not being gifted in academics isn…,0
"  on dealing with fear of missing out
 
your fun may not be my fun coming to terms with that helped me now i can have my own…",1
"  on dealing with fear of missing out

your fun may not be my fun coming to terms with that helped me now i can have my…",1
"  on dealing with fear of missing out

your fun may not be my fun coming to terms with that helped me now i can have my…",1
  if you keep comparing yourself to everyone else youll never see the good in yourself  loryne awiti  htt…,1
"  on dealing with fear of missing out
 
your fun may not be my fun coming to terms with that helped me now i can have my own…",1
"  on dealing with fear of missing out
 
your fun may not be my fun coming to terms with that helped me now i can have my own…",1
  if you keep comparing yourself to everyone else youll never see the good in yourself  loryne awiti  ,1
if you keep comparing yourself to everyone else youll never see the good in yourself  loryne awiti  ,1
if you keep comparing yourself to everyone else youll never see the good in yourself  loryne awiti  ,1
"on dealing with fear of missing out
 
your fun may not be my fun coming to terms with that helped me now i can ha… ",1
  it’s important for parents to understand that there are other things young people can do not being gifted in academics isn…,0
"on dealing with fear of missing out

your fun may not be my fun coming to terms with that helped me now i can hav… ",1
  it’s important for parents to understand that there are other things young people can do not being gifted in academics isn…,0
  lorraine awiti explains from her experience three challenges teenagers face  ,1
  lorraine awiti explains from her experience three challenges teenagers face  ,1
lorraine awiti explains from her experience three challenges teenagers face  ,1
  it’s important for parents to understand that there are other things young people can do not being gifted in academics isn…,0
  it’s important for parents to understand that there are other things young people can do not being gifted in academics isn…,0
  peer pressure is always there when i was in form four i wanted to join my peers to go dance the then popular break dance…,1
  peer pressure is always there when i was in form four i wanted to join my peers to go dance the then popular break dance…,1
peer pressure is always there when i was in form four i wanted to join my peers to go dance the then popular bre… ,1
  today on  we are in the kitchen grab your breakfast and enjoy the show on  ,1
  most bachelors eat a lot of junk and unhealthy foods reveals  ,1
most bachelors eat a lot of junk and unhealthy foods reveals  ,1
today on  we are in the kitchen grab your breakfast and enjoy the show on  ,1
today on  we are in the kitchen grab your breakfast and enjoy the show on  ,1
  no more holding back tell your love to everyone see who loves back   ,1
  no more holding back tell your love to everyone see who loves back   ,1
  no more holding back tell your love to everyone see who loves back   ,1
"  good morning today on living with ess we are discussing mothers day which is this  coming sunday

do you have any spe…",1
"good morning today on living with ess we are discussing mothers day which is this  coming sunday

do you have an… ",1
"good morning today on living with ess we are discussing mothers day which is this  coming sunday

do you have an… ",1
